,Unnamed: 0,Star_name,Distance,Mass,Radius,Gravity
0,0,Sun,1.5813e-05,1.0,1.0,274.2691614595739
1,1,Sirius,8.6,2.1,1.71,196.97179955032502
2,3,Alpha Centauri,4.4,1.1,1.2,209.51116500384126
3,12,Altair,17.0,1.8,1.8,152.37175636642996
4,18,Fomalhaut,25.0,1.9,1.8,160.83685394234269
5,52,Tau Ceti,11.9,0.7829999999999999,0.893,269.2996711047934
6,53,Delta Pavonis,19.92,0.991,1.22,182.61269753187165
7,59,Titawin,44.25,1.27,1.48,159.02202111653529
8,67,54 Piscium,36.1,0.76,0.94,235.9037604224493
9,72,HD 140283,190.0,2.0,1.4,279.86649128527955
10,81,KIC 8462852,1470.0,1.43,1.58,157.10819615734286
11,86,YBP 1194,2772.0,1.01,0.99,282.6363157577489
12,96,2MASS J00040288-6410358,192.0,0.018137172,0.16750369,177.29553270309606
13,103,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,217.27872675245442
14,104,WISEP J004701.06+680352.1 [fr],40.0,0.011455056000000002,0.13359189999999999,176.04104671648304
15,109,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606,188.93802326300386
16,110,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843,191.292368446984
17,113,2MASS J02103857-3015313,101.0,0.01431882,0.15722739,158.86484308965376
18,114,2MASS J02340093-6442068,155.0,0.01909176,0.16647606,188.93802326300386
19,115,2MASS J02411151-0326587 [de],152.0,0.025773876,0.14489583,336.70141347991887
20,124,2MASS J03231002-4631237,192.0,0.021955524,0.17058658,206.9336226190817
21,126,2MASS J03264225-2102057 [de],80.0,0.017182584,0.13359189999999999,264.0615700747245
22,133,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.57813834448314
23,137,2MASS J04362788-4114465,142.0,0.037228932,0.20244311,249.14464404913375
24,139,2MASS J04433764+0002040,82.0,0.021000936,0.18291814,172.14803783504922
25,143,2MASS J05012406-0010452 [de],64.0,0.020046348,0.14181294,273.3886765721481
26,147,LSR 0602+3910 [de],34.6,0.026728464,0.14489583,349.1718362013974
27,173,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489583,336.70141347991887
28,180,TWA 28,180.0,0.034365168,0.24560357,156.25218516002334
29,184,TWA 26,137.0,0.02863764,0.22607860000000002,153.67219470602092
30,200,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348,0.13564716,298.8070452617073
31,225,2MASSI J1726000+153819,114.0,0.022910112000000003,0.1438682,303.58098872536374
32,231,2MASS J20004841-7523070,105.0,0.023864700000000003,0.19319444,175.36531952079122
33,239,2MASSW J2206450-421721,93.0,0.021000936,0.13667479,308.3463412722992
34,240,2MASSW J2208136+292121,154.0,0.025773876,0.14489583,336.70141347991887
35,244,2MASSW J2244316+204343,56.0,0.011455056000000002,0.13256427,178.78094402431125
36,245,2MASS J23224684-3133231,56.0,0.022910112000000003,0.14284057,307.9647729940028
37,246,2MASS J23225299-6151275,148.0,0.016227996,0.16339317,166.7147684085729
